,length,steps
0,0.4,516.0
1,0.4,504.0
2,0.4,506.0
3,0.4,506.0
4,0.4,506.0
5,0.4,511.0
6,0.4,504.0
7,0.4,504.0
8,0.4,506.0
9,0.4,506.0
10,0.4482758620689655,506.0
11,0.4482758620689655,506.0
12,0.4482758620689655,506.0
13,0.4482758620689655,506.0
14,0.4482758620689655,504.0
15,0.4482758620689655,506.0
16,0.4482758620689655,504.0
17,0.4482758620689655,518.0
18,0.4482758620689655,504.0
19,0.4482758620689655,506.0
20,0.496551724137931,508.0
21,0.496551724137931,506.0
22,0.496551724137931,504.0
23,0.496551724137931,597.0
24,0.496551724137931,878.0
25,0.496551724137931,508.0
26,0.496551724137931,504.0
27,0.496551724137931,504.0
28,0.496551724137931,508.0
29,0.496551724137931,504.0
30,0.5448275862068965,680.0
31,0.5448275862068965,2509.0
32,0.5448275862068965,2255.0
33,0.5448275862068965,1749.0
34,0.5448275862068965,3610.0
35,0.5448275862068965,2411.0
36,0.5448275862068965,1517.0
37,0.5448275862068965,1997.0
38,0.5448275862068965,2306.0
39,0.5448275862068965,1499.0
40,0.5931034482758621,1795.0
41,0.5931034482758621,1727.0
42,0.5931034482758621,2043.0
43,0.5931034482758621,2478.0
44,0.5931034482758621,3090.0
45,0.5931034482758621,2065.0
46,0.5931034482758621,5101.0
47,0.5931034482758621,4492.0
48,0.5931034482758621,1765.0
49,0.5931034482758621,5172.0
50,0.6413793103448275,1883.0
51,0.6413793103448275,5522.0
52,0.6413793103448275,2287.0
53,0.6413793103448275,2573.0
54,0.6413793103448275,2185.0
55,0.6413793103448275,1559.0
56,0.6413793103448275,2005.0
57,0.6413793103448275,5470.0
58,0.6413793103448275,4585.0
59,0.6413793103448275,5830.0
60,0.6896551724137931,3295.0
61,0.6896551724137931,7259.0
62,0.6896551724137931,3800.0
63,0.6896551724137931,2205.0
64,0.6896551724137931,3210.0
65,0.6896551724137931,7287.0
66,0.6896551724137931,2189.0
67,0.6896551724137931,7351.0
68,0.6896551724137931,3376.0
69,0.6896551724137931,6867.0
70,0.7379310344827587,7993.0
71,0.7379310344827587,1877.0
72,0.7379310344827587,2293.0
73,0.7379310344827587,2299.0
74,0.7379310344827587,1901.0
75,0.7379310344827587,3876.0
76,0.7379310344827587,7917.0
77,0.7379310344827587,1724.0
78,0.7379310344827587,5495.0
79,0.7379310344827587,8259.0
80,0.7862068965517242,2215.0
81,0.7862068965517242,9741.0
82,0.7862068965517242,3094.0
83,0.7862068965517242,2554.0
84,0.7862068965517242,3131.0
85,0.7862068965517242,2403.0
86,0.7862068965517242,1798.0
87,0.7862068965517242,2359.0
88,0.7862068965517242,8292.0
89,0.7862068965517242,2672.0
90,0.8344827586206897,7234.0
91,0.8344827586206897,3477.0
92,0.8344827586206897,3498.0
93,0.8344827586206897,2127.0
94,0.8344827586206897,10567.0
95,0.8344827586206897,11721.0
96,0.8344827586206897,8094.0
97,0.8344827586206897,2053.0
98,0.8344827586206897,8088.0
99,0.8344827586206897,10297.0
100,0.8827586206896552,6602.0
101,0.8827586206896552,12339.0
102,0.8827586206896552,11291.0
103,0.8827586206896552,4497.0
104,0.8827586206896552,12875.0
105,0.8827586206896552,2241.0
106,0.8827586206896552,11141.0
107,0.8827586206896552,5664.0
108,0.8827586206896552,1852.0
109,0.8827586206896552,11251.0
110,0.9310344827586207,5400.0
111,0.9310344827586207,12447.0
112,0.9310344827586207,2945.0
113,0.9310344827586207,14193.0
114,0.9310344827586207,5457.0
115,0.9310344827586207,12479.0
116,0.9310344827586207,13643.0
117,0.9310344827586207,13867.0
118,0.9310344827586207,13431.0
119,0.9310344827586207,13543.0
120,0.9793103448275863,6749.0
121,0.9793103448275863,889.0
122,0.9793103448275863,17011.0
123,0.9793103448275863,15673.0
124,0.9793103448275863,18229.0
125,0.9793103448275863,4198.0
126,0.9793103448275863,10217.0
127,0.9793103448275863,9027.0
128,0.9793103448275863,14721.0
129,0.9793103448275863,905.0
130,1.0275862068965518,835.0
131,1.0275862068965518,17401.0
132,1.0275862068965518,5456.0
133,1.0275862068965518,18651.0
134,1.0275862068965518,897.0
135,1.0275862068965518,1639.0
136,1.0275862068965518,1375.0
137,1.0275862068965518,899.0
138,1.0275862068965518,8869.0
139,1.0275862068965518,18779.0
140,1.0758620689655172,899.0
141,1.0758620689655172,8296.0
142,1.0758620689655172,854.0
143,1.0758620689655172,22956.0
144,1.0758620689655172,907.0
145,1.0758620689655172,881.0
146,1.0758620689655172,901.0
147,1.0758620689655172,9934.0
148,1.0758620689655172,24126.0
149,1.0758620689655172,4968.0
150,1.1241379310344828,20976.0
151,1.1241379310344828,8957.0
152,1.1241379310344828,10804.0
153,1.1241379310344828,28274.0
154,1.1241379310344828,853.0
155,1.1241379310344828,1516.0
156,1.1241379310344828,1605.0
157,1.1241379310344828,1490.0
158,1.1241379310344828,859.0
159,1.1241379310344828,7974.0
160,1.1724137931034484,22699.0
161,1.1724137931034484,31942.0
162,1.1724137931034484,3296.0
163,1.1724137931034484,31590.0
164,1.1724137931034484,32060.0
165,1.1724137931034484,5270.0
166,1.1724137931034484,3081.0
167,1.1724137931034484,4442.0
168,1.1724137931034484,2180.0
169,1.1724137931034484,32336.0
170,1.2206896551724138,4774.0
171,1.2206896551724138,2027.0
172,1.2206896551724138,2042.0
173,1.2206896551724138,36846.0
174,1.2206896551724138,36592.0
175,1.2206896551724138,3203.0
176,1.2206896551724138,3440.0
177,1.2206896551724138,36504.0
178,1.2206896551724138,36562.0
179,1.2206896551724138,5032.0
180,1.2689655172413792,41858.0
