,length,steps
0,0.4,283.0
1,0.4,542.0
2,0.4,334.0
3,0.4,502.0
4,0.4,346.0
5,0.4,6049.0
6,0.4,260.0
7,0.4,265.0
8,0.4,408.0
9,0.4,414.0
10,0.4482758620689655,489.0
11,0.4482758620689655,508.0
12,0.4482758620689655,522.0
13,0.4482758620689655,272.0
14,0.4482758620689655,442.0
15,0.4482758620689655,364.0
16,0.4482758620689655,274.0
17,0.4482758620689655,713.0
18,0.4482758620689655,350.0
19,0.4482758620689655,400.0
20,0.496551724137931,7657.0
21,0.496551724137931,357.0
22,0.496551724137931,510.0
23,0.496551724137931,8263.0
24,0.496551724137931,372.0
25,0.496551724137931,282.0
26,0.496551724137931,295.0
27,0.496551724137931,287.0
28,0.496551724137931,8011.0
29,0.496551724137931,1256.0
30,0.5448275862068965,9689.0
31,0.5448275862068965,7301.0
32,0.5448275862068965,8567.0
33,0.5448275862068965,532.0
34,0.5448275862068965,362.0
35,0.5448275862068965,5853.0
36,0.5448275862068965,366.0
37,0.5448275862068965,9565.0
38,0.5448275862068965,9581.0
39,0.5448275862068965,9457.0
40,0.5931034482758621,8590.0
41,0.5931034482758621,518.0
42,0.5931034482758621,1269.0
43,0.5931034482758621,362.0
44,0.5931034482758621,612.0
45,0.5931034482758621,519.0
46,0.5931034482758621,8642.0
47,0.5931034482758621,358.0
48,0.5931034482758621,510.0
49,0.5931034482758621,351.0
50,0.6413793103448275,9531.0
51,0.6413793103448275,1354.0
52,0.6413793103448275,1342.0
53,0.6413793103448275,1416.0
54,0.6413793103448275,10227.0
55,0.6413793103448275,526.0
56,0.6413793103448275,10001.0
57,0.6413793103448275,11271.0
58,0.6413793103448275,1379.0
59,0.6413793103448275,520.0
60,0.6896551724137931,486.0
61,0.6896551724137931,12573.0
62,0.6896551724137931,11179.0
63,0.6896551724137931,582.0
64,0.6896551724137931,646.0
65,0.6896551724137931,5726.0
66,0.6896551724137931,1360.0
67,0.6896551724137931,572.0
68,0.6896551724137931,614.0
69,0.6896551724137931,546.0
70,0.7379310344827587,13669.0
71,0.7379310344827587,566.0
72,0.7379310344827587,14025.0
73,0.7379310344827587,488.0
74,0.7379310344827587,526.0
75,0.7379310344827587,6313.0
76,0.7379310344827587,11161.0
77,0.7379310344827587,12383.0
78,0.7379310344827587,6221.0
79,0.7379310344827587,14553.0
80,0.7862068965517242,574.0
81,0.7862068965517242,12144.0
82,0.7862068965517242,540.0
83,0.7862068965517242,493.0
84,0.7862068965517242,651.0
85,0.7862068965517242,556.0
86,0.7862068965517242,526.0
87,0.7862068965517242,14873.0
88,0.7862068965517242,540.0
89,0.7862068965517242,11821.0
90,0.8344827586206897,581.0
91,0.8344827586206897,542.0
92,0.8344827586206897,13819.0
93,0.8344827586206897,662.0
94,0.8344827586206897,592.0
95,0.8344827586206897,450.0
96,0.8344827586206897,579.0
97,0.8344827586206897,575.0
98,0.8344827586206897,529.0
99,0.8344827586206897,16344.0
100,0.8827586206896552,11130.0
101,0.8827586206896552,483.0
102,0.8827586206896552,14547.0
103,0.8827586206896552,6999.0
104,0.8827586206896552,1077.0
105,0.8827586206896552,525.0
106,0.8827586206896552,18010.0
107,0.8827586206896552,529.0
108,0.8827586206896552,508.0
109,0.8827586206896552,1307.0
110,0.9310344827586207,18760.0
111,0.9310344827586207,473.0
112,0.9310344827586207,496.0
113,0.9310344827586207,462.0
114,0.9310344827586207,18401.0
115,0.9310344827586207,1026.0
116,0.9310344827586207,475.0
117,0.9310344827586207,18291.0
118,0.9310344827586207,1016.0
119,0.9310344827586207,524.0
120,0.9793103448275863,554.0
121,0.9793103448275863,637.0
122,0.9793103448275863,510.0
123,0.9793103448275863,630.0
124,0.9793103448275863,11021.0
125,0.9793103448275863,494.0
126,0.9793103448275863,10307.0
127,0.9793103448275863,457.0
128,0.9793103448275863,582.0
129,0.9793103448275863,564.0
130,1.0275862068965518,475.0
131,1.0275862068965518,519.0
132,1.0275862068965518,538.0
133,1.0275862068965518,490.0
134,1.0275862068965518,1026.0
135,1.0275862068965518,512.0
136,1.0275862068965518,471.0
137,1.0275862068965518,20900.0
138,1.0275862068965518,570.0
139,1.0275862068965518,560.0
140,1.0758620689655172,534.0
141,1.0758620689655172,521.0
142,1.0758620689655172,22157.0
143,1.0758620689655172,488.0
144,1.0758620689655172,583.0
145,1.0758620689655172,460.0
146,1.0758620689655172,485.0
147,1.0758620689655172,988.0
148,1.0758620689655172,18044.0
149,1.0758620689655172,1020.0
150,1.1241379310344828,580.0
151,1.1241379310344828,526.0
152,1.1241379310344828,970.0
153,1.1241379310344828,558.0
154,1.1241379310344828,522.0
155,1.1241379310344828,480.0
156,1.1241379310344828,908.0
157,1.1241379310344828,484.0
158,1.1241379310344828,16660.0
159,1.1241379310344828,607.0
160,1.1724137931034484,817.0
161,1.1724137931034484,15462.0
162,1.1724137931034484,457.0
163,1.1724137931034484,461.0
164,1.1724137931034484,624.0
165,1.1724137931034484,1068.0
166,1.1724137931034484,453.0
167,1.1724137931034484,462.0
168,1.1724137931034484,455.0
169,1.1724137931034484,633.0
170,1.2206896551724138,630.0
171,1.2206896551724138,465.0
172,1.2206896551724138,587.0
173,1.2206896551724138,648.0
174,1.2206896551724138,1139.0
175,1.2206896551724138,628.0
176,1.2206896551724138,453.0
177,1.2206896551724138,20103.0
178,1.2206896551724138,426.0
179,1.2206896551724138,572.0
180,1.2689655172413792,443.0
181,1.2689655172413792,497.0
182,1.2689655172413792,318.0
183,1.2689655172413792,1004.0
184,1.2689655172413792,436.0
185,1.2689655172413792,431.0
