,length,steps
0,0.4,1371.0
1,0.4,8392.0
2,0.4,19167.0
3,0.4,5523.0
4,0.4,2159.0
5,0.4,19079.0
6,0.4,19513.0
7,0.4,4616.0
8,0.4,2921.0
9,0.4,5641.0
10,0.4482758620689655,3811.0
11,0.4482758620689655,1751.0
12,0.4482758620689655,21601.0
13,0.4482758620689655,2438.0
14,0.4482758620689655,6010.0
15,0.4482758620689655,2937.0
16,0.4482758620689655,1961.0
17,0.4482758620689655,9396.0
18,0.4482758620689655,21805.0
19,0.4482758620689655,21839.0
20,0.496551724137931,24015.0
21,0.496551724137931,5163.0
22,0.496551724137931,23903.0
23,0.496551724137931,2094.0
24,0.496551724137931,8360.0
25,0.496551724137931,2436.0
26,0.496551724137931,2472.0
27,0.496551724137931,2096.0
28,0.496551724137931,24597.0
29,0.496551724137931,4569.0
30,0.5448275862068965,6119.0
31,0.5448275862068965,7451.0
32,0.5448275862068965,27161.0
33,0.5448275862068965,2409.0
34,0.5448275862068965,5717.0
35,0.5448275862068965,9123.0
36,0.5448275862068965,26443.0
37,0.5448275862068965,2965.0
38,0.5448275862068965,2119.0
39,0.5448275862068965,7706.0
40,0.5931034482758621,11514.0
41,0.5931034482758621,6435.0
42,0.5931034482758621,2000.0
43,0.5931034482758621,6769.0
44,0.5931034482758621,28913.0
45,0.5931034482758621,29277.0
46,0.5931034482758621,29189.0
47,0.5931034482758621,2875.0
48,0.5931034482758621,5015.0
49,0.5931034482758621,29359.0
50,0.6413793103448275,4486.0
51,0.6413793103448275,31419.0
52,0.6413793103448275,2205.0
53,0.6413793103448275,11173.0
54,0.6413793103448275,31393.0
55,0.6413793103448275,32065.0
56,0.6413793103448275,31341.0
57,0.6413793103448275,8641.0
58,0.6413793103448275,2588.0
59,0.6413793103448275,31815.0
60,0.6896551724137931,4715.0
61,0.6896551724137931,6307.0
62,0.6896551724137931,4105.0
63,0.6896551724137931,2442.0
64,0.6896551724137931,9516.0
65,0.6896551724137931,34779.0
66,0.6896551724137931,12987.0
67,0.6896551724137931,4903.0
68,0.6896551724137931,2694.0
69,0.6896551724137931,34509.0
70,0.7379310344827587,36573.0
71,0.7379310344827587,37089.0
72,0.7379310344827587,7663.0
73,0.7379310344827587,8339.0
74,0.7379310344827587,10739.0
75,0.7379310344827587,11473.0
76,0.7379310344827587,15020.0
77,0.7379310344827587,36457.0
78,0.7379310344827587,2946.0
79,0.7379310344827587,8977.0
80,0.7862068965517242,5925.0
81,0.7862068965517242,38559.0
82,0.7862068965517242,15158.0
83,0.7862068965517242,12253.0
84,0.7862068965517242,38637.0
85,0.7862068965517242,13540.0
